Dates,Transparency,Recession,EPU,Twoday,PhDs,Num_Stems_FOMC1,Num_Stems_FOMC2
18-Aug-87,0,0,56.67709677,0,11,1401,738
22-Sep-87,0,0,63.75366667,0,10,1965,477
3-Nov-87,0,0,137.2623333,0,12,1190,954
16-Dec-87,0,0,115.2977419,1,12,1518,847
10-Feb-88,0,0,79.70793103,1,12,1784,1152
29-Mar-88,0,0,74.65129032,0,12,1065,106
30-Jun-88,0,0,76.774,0,12,1483,1442
16-Aug-88,0,0,84.92225806,0,12,1259,1038
20-Sep-88,0,0,56.77866667,0,12,1476,241
1-Nov-88,0,0,101.3183333,0,12,1227,421
14-Dec-88,0,0,77.43935484,1,11,2115,670
8-Feb-89,0,0,65.21214286,1,12,1628,924
28-Mar-89,0,0,62.26322581,0,11,1496,436
16-May-89,0,0,77.93387097,0,11,1254,860
6-Jul-89,0,0,99.28774194,1,11,1546,862
22-Aug-89,0,0,66.1583871,0,10,1878,454
3-Oct-89,0,0,81.41483871,0,11,1158,488
14-Nov-89,0,0,82.95866667,0,11,1412,474
19-Dec-89,0,0,87.58419355,1,11,1672,814
7-Feb-90,0,0,105.7471429,1,11,1760,647
27-Mar-90,0,0,75.65258065,0,11,1863,523
15-May-90,0,0,78.45645161,0,11,1521,547
3-Jul-90,0,0,88.51516129,1,11,1620,481
21-Aug-90,0,1,142.3709677,0,10,2120,635
2-Oct-90,0,1,136.8919355,0,11,2016,1038
13-Nov-90,0,1,151.2136667,0,11,1657,365
18-Dec-90,0,1,128.84,1,11,1561,836
6-Feb-91,0,1,127.8314286,1,12,1556,739
26-Mar-91,0,1,98.57870968,0,11,1273,327
14-May-91,0,0,74.89548387,0,11,1396,344
3-Jul-91,0,0,110.8696774,1,11,1462,446
20-Aug-91,0,0,106.9390323,0,11,1435,359
1-Oct-91,0,0,114.0751613,0,11,1376,241
5-Nov-91,0,0,172.6533333,0,11,1607,560
17-Dec-91,0,0,190.5370968,1,13,1546,576
5-Feb-92,0,0,169.7117241,1,13,1566,413
31-Mar-92,0,0,125.6590323,0,14,1640,572
19-May-92,0,0,96.91354839,0,14,2226,719
1-Jul-92,0,0,138.966129,1,14,1903,969
18-Aug-92,0,0,153.6580645,0,14,1629,455
6-Oct-92,0,0,192.9541935,0,14,2214,2410
17-Nov-92,0,0,153.5093333,0,14,1422,1324
22-Dec-92,0,0,103.4487097,1,14,1548,652
3-Feb-93,0,0,115.2992857,1,14,1960,386
23-Mar-93,0,0,138.4712903,0,14,1821,807
18-May-93,0,0,156.0567742,0,14,2183,917
7-Jul-93,0,0,122.7851613,1,13,2163,324
17-Aug-93,0,0,148.2380645,0,13,1704,771
21-Sep-93,0,0,129.6986667,0,13,2187,289
16-Nov-93,1,0,100.9926667,0,13,1455,182
21-Dec-93,1,0,87.74677419,1,13,1728,629
4-Feb-94,1,0,79.95392857,1,11,2029,993
22-Mar-94,1,0,85.94741935,0,10,1714,1046
17-May-94,1,0,111.1822581,0,10,1828,530
6-Jul-94,1,0,91.78709677,1,11,1868,1237
16-Aug-94,1,0,89.13548387,0,12,2034,542
27-Sep-94,1,0,98.46666667,0,13,1917,637
15-Nov-94,1,0,118.8293333,0,13,2190,594
20-Dec-94,1,0,89.83741935,1,12,2121,732
1-Feb-95,1,0,134.4160714,1,13,1921,750
28-Mar-95,1,0,97.52096774,0,13,1642,931
23-May-95,1,0,64.40677419,0,13,1779,429
6-Jul-95,1,0,89.75612903,1,13,2290,1112
22-Aug-95,1,0,46.75580645,0,13,2008,431
26-Sep-95,1,0,53.65933333,0,13,1988,344
15-Nov-95,1,0,91.449,0,13,2108,605
19-Dec-95,1,0,113.5180645,1,13,1719,1139
31-Jan-96,1,0,115.496129,0,12,1927,798
26-Mar-96,1,0,81.62645161,0,12,1709,375
21-May-96,1,0,74.12774194,0,12,2096,809
3-Jul-96,1,0,65.24516129,1,14,2692,1825
20-Aug-96,1,0,71.99032258,0,14,2194,674
24-Sep-96,1,0,70.32633333,0,14,1814,922
13-Nov-96,1,0,62.71066667,0,14,2071,586
17-Dec-96,1,0,63.94096774,1,14,1708,487
5-Feb-97,1,0,64.32357143,1,12,2163,869
25-Mar-97,1,0,64.99064516,0,12,1872,803
20-May-97,1,0,77.92322581,0,12,2070,956
2-Jul-97,1,0,58.03193548,1,12,1883,1271
19-Aug-97,1,0,69.14903226,0,12,1901,953
30-Sep-97,1,0,49.31933333,0,12,2444,844
12-Nov-97,1,0,81.30066667,0,14,2870,756
16-Dec-97,1,0,64.06322581,1,14,2492,912
4-Feb-98,1,0,85.11714286,1,14,4015,964
31-Mar-98,1,0,70.9616129,0,15,2576,1189
19-May-98,1,0,64.89935484,0,15,3008,1005
1-Jul-98,1,0,68.21645161,1,14,3701,2396
18-Aug-98,1,0,121.5348387,0,13,2669,726
29-Sep-98,1,0,154.0713333,0,14,2365,952
17-Nov-98,1,0,95.25533333,0,14,2049,740
22-Dec-98,1,0,83.71483871,1,14,2029,904
3-Feb-99,1,0,65.29321429,1,14,2909,1745
30-Mar-99,1,0,56.36419355,0,14,2308,921
18-May-99,1,0,48.1216129,0,14,2294,1051
30-Jun-99,1,0,51.012,0,13,2898,2393
24-Aug-99,1,0,54.71516129,0,13,2082,944
5-Oct-99,1,0,56.07387097,0,13,2290,1754
16-Nov-99,1,0,54.52766667,0,13,2143,864
21-Dec-99,1,0,73.08548387,1,13,1963,912
2-Feb-00,1,0,50.6037931,1,13,3214,1571
21-Mar-00,1,0,64.99451613,0,13,2265,837
16-May-00,1,0,77.52,0,12,2690,939
28-Jun-00,1,0,67.236,0,12,3678,1073
22-Aug-00,1,0,47.63967742,0,13,2543,904
3-Oct-00,1,0,67.58645161,0,13,2523,697
15-Nov-00,1,0,138.2163333,0,12,2930,1073
19-Dec-00,1,0,124.6306452,1,13,2777,856
